ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
LabOccupancy,12,31,LabOccupancyWk,LabOccupancyWk,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancyWD,LabOccupancySat,LabOccupancySun,LabOccupancySun,OffDay,OnDay
LabLights,12,31,LabLightsWk,LabLightsWk,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsWD,LabLightsSat,LabLightsSun,LabLightsSun,OffDay,OnDay
LabReceptacle,12,31,LabReceptacleWk,LabReceptacleWk,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleWD,LabReceptacleSat,LabReceptacleSun,LabReceptacleSun,OffDay,OnDay
LabHVACAvail,12,31,LabHVACAvailWk,LabHVACAvailWk,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailWD,LabHVACAvailSat,LabHVACAvailSun,LabHVACAvailSun,OnDay,OnDay
LabServiceHotWater,12,31,LabServiceHotWaterWk,LabServiceHotWaterWk,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterWD,LabServiceHotWaterSat,LabServiceHotWaterSun,LabServiceHotWaterSun,OffDay,OnDay
LabElevator,12,31,LabElevatorWk,LabElevatorWk,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorWD,LabElevatorSat,LabElevatorSun,LabElevatorSun,OffDay,OnDay
LabExhaustHoodCAV,12,31,LabExhaustHoodCAVWk,LabExhaustHoodCAVWk,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVWD,LabExhaustHoodCAVSat,LabExhaustHoodCAVSun,LabExhaustHoodCAVSun,LabExhaustHoodCAVSun,LabExhaustHoodCAVWD
LabExhaustHoodVAV,12,31,LabExhaustHoodVAVWk,LabExhaustHoodVAVWk,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVWD,LabExhaustHoodVAVSat,LabExhaustHoodVAVSun,LabExhaustHoodVAVSun,LabExhaustHoodVAVSun,LabExhaustHoodVAVWD
LabProcessEquipmentTypicalUse,12,31,LabProcessEquipmentTypicalUseWk,LabProcessEquipmentTypicalUseWk,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseWD,LabProcessEquipmentTypicalUseSat,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseSun,LabProcessEquipmentTypicalUseWD
LabProcessEquipmentHighUse,12,31,LabProcessEquipmentHighUseWk,LabProcessEquipmentHighUseWk,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseWD,LabProcessEquipmentHighUseSat,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseSun,LabProcessEquipmentHighUseWD
LabRefrigeration,12,31,LabRefrigerationWk,LabRefrigerationWk,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationWD,LabRefrigerationSat,LabRefrigerationSun,LabRefrigerationSun,LabRefrigerationSun,LabRefrigerationWD
LabGasEquip,12,31,LabGasEquipWk,LabGasEquipWk,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipWD,LabGasEquipSat,LabGasEquipSun,LabGasEquipSun,OffDay,OnDay
LabHtgSetpt,12,31,LabHtgSetptWk,LabHtgSetptWk,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptWD,LabHtgSetptSat,LabHtgSetptSun,LabHtgSetptSun,LabHtgSetptWD,LabHtgSetptWD
LabClgSetpt,12,31,LabClgSetptWk,LabClgSetptWk,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptWD,LabClgSetptSat,LabClgSetptSun,LabClgSetptSun,LabClgSetptWD,LabClgSetptWD
LabInfiltration,12,31,LabInfiltrationWk,LabInfiltrationWk,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationWD,LabInfiltrationSat,LabInfiltrationSun,LabInfiltrationSun,LabInfiltrationWD,LabInfiltrationWD
LabWtrHtrSetpt,12,31,LabWtrHtrSetptWk,LabWtrHtrSetptWk,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptWD,LabWtrHtrSetptSat,LabWtrHtrSetptSun,LabWtrHtrSetptSun,LabWtrHtrSetptWD,LabWtrHtrSetptWD
ManufacturingOccupancy,12,31,ManufacturingOccupancyWk,ManufacturingOccupancyWk,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancyWD,ManufacturingOccupancySat,ManufacturingOccupancySun,ManufacturingOccupancySun,OffDay,OnDay
ManufacturingLights,12,31,ManufacturingLightsWk,ManufacturingLightsWk,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsWD,ManufacturingLightsSat,ManufacturingLightsSun,ManufacturingLightsSun,OffDay,OnDay
ManufacturingReceptacle,12,31,ManufacturingReceptacleWk,ManufacturingReceptacleWk,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleWD,ManufacturingReceptacleSat,ManufacturingReceptacleSun,ManufacturingReceptacleSun,OffDay,OnDay
