ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
RestaurantExhaustHoodEqualOrLessThan5000cfmWk,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmSat,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmWD
RestaurantExhaustHoodGreaterThan5000cfmWk,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmSat,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmWD
RestaurantRefrigerationWk,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationSat,RestaurantRefrigerationSun,RestaurantRefrigerationSun,RestaurantRefrigerationSun,RestaurantRefrigerationWD
RestaurantGasEquipWk,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipSat,RestaurantGasEquipSun,RestaurantGasEquipSun,OffDay,OnDay
RestaurantHtgSetptWk,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptSat,RestaurantHtgSetptSun,RestaurantHtgSetptSun,RestaurantHtgSetptWD,RestaurantHtgSetptWD
RestaurantClgSetptWk,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptSat,RestaurantClgSetptSun,RestaurantClgSetptSun,RestaurantClgSetptWD,RestaurantClgSetptWD
RestaurantInfiltrationWk,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationSat,RestaurantInfiltrationSun,RestaurantInfiltrationSun,RestaurantInfiltrationWD,RestaurantInfiltrationWD
RestaurantWtrHtrSetptWk,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptSat,RestaurantWtrHtrSetptSun,RestaurantWtrHtrSetptSun,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD
RestaurantEscalatorWk,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorSat,RestaurantEscalatorSun,RestaurantEscalatorSun,OffDay,OnDay
RetailOccupancyWk,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancySat,RetailOccupancySun,RetailOccupancySun,OffDay,OnDay
RetailLightsWk,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsSat,RetailLightsSun,RetailLightsSun,OffDay,OnDay
RetailReceptacleWk,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleSat,RetailReceptacleSun,RetailReceptacleSun,OffDay,OnDay
RetailHVACAvailWk,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailSat,RetailHVACAvailSun,RetailHVACAvailSun,OnDay,OnDay
RetailServiceHotWaterWk,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterSat,RetailServiceHotWaterSun,RetailServiceHotWaterSun,OffDay,OnDay
RetailElevatorWk,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorSat,RetailElevatorSun,RetailElevatorSun,OffDay,OnDay
RetailRefrigerationWk,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationSat,RetailRefrigerationSun,RetailRefrigerationSun,RetailRefrigerationSun,RetailRefrigerationWD
RetailGasEquipWk,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipSat,RetailGasEquipSun,RetailGasEquipSun,OffDay,OnDay
RetailHtgSetptWk,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptSat,RetailHtgSetptSun,RetailHtgSetptSun,RetailHtgSetptWD,RetailHtgSetptWD
RetailClgSetptWk,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptSat,RetailClgSetptSun,RetailClgSetptSun,RetailClgSetptWD,RetailClgSetptWD
RetailInfiltrationWk,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationSat,RetailInfiltrationSun,RetailInfiltrationSun,RetailInfiltrationWD,RetailInfiltrationWD
RetailEscalatorWk,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorSat,RetailEscalatorSun,RetailEscalatorSun,OffDay,OnDay
RetailWtrHtrSetptWk,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptSat,RetailWtrHtrSetptSun,RetailWtrHtrSetptSun,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD
SchoolOccupancyWk,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancySat,SchoolOccupancySun,SchoolOccupancySun,OffDay,OnDay
SchoolLightsWk,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsSat,SchoolLightsSun,SchoolLightsSun,OffDay,OnDay
SchoolReceptacleWk,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleSat,SchoolReceptacleSun,SchoolReceptacleSun,OffDay,OnDay
SchoolHVACAvailWk,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailSat,SchoolHVACAvailSun,SchoolHVACAvailSun,OnDay,OnDay
SchoolServiceHotWaterWk,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterSat,SchoolServiceHotWaterSun,SchoolServiceHotWaterSun,OffDay,OnDay
SchoolElevatorWk,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorSat,SchoolElevatorSun,SchoolElevatorSun,OffDay,OnDay
SchoolRefrigerationWk,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationSat,SchoolRefrigerationSun,SchoolRefrigerationSun,SchoolRefrigerationSun,SchoolRefrigerationWD
SchoolGasEquipWk,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipSat,SchoolGasEquipSun,SchoolGasEquipSun,OffDay,OnDay
SchoolHtgSetptWk,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptSat,SchoolHtgSetptSun,SchoolHtgSetptSun,SchoolHtgSetptWD,SchoolHtgSetptWD
SchoolClgSetptWk,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptSat,SchoolClgSetptSun,SchoolClgSetptSun,SchoolClgSetptWD,SchoolClgSetptWD
SchoolInfiltrationWk,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationSat,SchoolInfiltrationSun,SchoolInfiltrationSun,SchoolInfiltrationWD,SchoolInfiltrationWD
SchoolWtrHtrSetptWk,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptSat,SchoolWtrHtrSetptSun,SchoolWtrHtrSetptSun,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD
SchoolEscalatorWk,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorSat,SchoolEscalatorSun,SchoolEscalatorSun,OffDay,OnDay
WarehouseOccupancyWk,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancySat,WarehouseOccupancySun,WarehouseOccupancySun,OffDay,OnDay
WarehouseLightsWk,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsSat,WarehouseLightsSun,WarehouseLightsSun,OffDay,OnDay
WarehouseReceptacleWk,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleSat,WarehouseReceptacleSun,WarehouseReceptacleSun,OffDay,OnDay
WarehouseHVACAvailWk,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailSat,WarehouseHVACAvailSun,WarehouseHVACAvailSun,OnDay,OnDay
